被房产销售骗了这么多年！买期房要注意这些	 房产	 其他	 房产销售&&这么多年	 32	 1	 0.031
“请赐我一双翅膀”入狱前VS后，林九歌虐心，而她气场全开！	 娱乐	 电视	 请赐我一双翅膀&&林九歌&&她	 15	 0	 0.000
鲜师傅米粉央视形象展播入围启动仪式隆重举行	 科技	 国内旅游	 米粉&&央视&&仪式	 1	 0	 0.000
又一集资大案！金额超400亿 董事长曾任省人大代表	 房产	 房地产行业	 	 2	 0	 0.000
伊朗欲建“复仇者联盟”？向25国发出邀请，全球重点关注两大国？	 时政	 国际时政	 伊朗&&复仇者&&大国	 1	 0	 0.000
成都路桥：关于对外提供担保的公告	 财经	 宏观经济	 成都路桥	 1	 0	 0.000
“六公主”中国最任性的电视台，只有你想不出，没有他不敢播的	 娱乐	 电影	 六公主	 240	 22	 0.092
衡阳启动“6·25”为民服务日集中宣传示范活动	 时政	 公益&&其他	 衡阳	 1	 0	 0.000
奥迪A3新车入手刚一月 转向失效？	 汽车	 用车	 奥迪a3	 4	 0	 0.000
上半年互联网创业公司融资难度加大，行业分化“冰火两重天”	 科技	 创业融资	 互联网创业&&公司融资&&分化&&两重天	 2	 0	 0.000
名家风采——当代花鸟画家陈薪名	 文化	 书法	 当代&&花鸟画家	 108	 13	 0.120
64岁林青霞路人合影超强，脸无褶子苹果肌上浮，笑容似少女！	 娱乐	 明星	 林青霞&&合影&&苹果肌&&少女	 52	 4	 0.077
因内尔马转会一事 齐祖与老佛爷意见冲突 皇马到底谁说的算	 体育	 国际足球	 内尔马&&齐祖&&老佛爷&&皇马	 115	 10	 0.087
哈尔滨师范大学辅导员第一期内训班素质拓展训练成功举办	 教育	 大学	 哈尔滨师范大学	 12	 0	 0.000
游戏王DM能够匹敌神之卡力量的怪兽卡，每一只都强大到让人绝望	 动漫	 其他	 游戏王dm&&神之卡	 10	 1	 0.100
山歌唱出文明风	 社会	 其他	 山歌&&文明	 3	 0	 0.000
正宗古树普洱茶与台地茶哪种好？	 美食	 茶	 正宗&&古树普洱茶&&台地茶	 1	 0	 0.000
原创 怎样成为一个深度的体育赞助玩家？	 游戏	 游戏业	 体育赞助&&玩家	 17	 0	 0.000
21日白天到夜间我县将出现大范围强降水天气	 其他	 其他	 白天&&天气	 16	 0	 0.000
不以追求贵为荣，有钱人也在用的国货，雅霜滋润锁水，郁美净平价	 时尚	 化妆	 钱&&国货&&雅霜&&郁美净	 32	 7	 0.219
【点赞】“焕新乐园”给贫困孩子营造一个“温馨的家”	 育儿	 儿童	 温馨的家	 6	 0	 0.000
《2019横渡中俄界江——黑龙江邀请函》，黑河与你相约！	 体育	 游泳	 中俄&&黑龙江&&黑河	 1	 0	 0.000
比武则天早65年，她是中国历史第一个女皇帝，被民间奉为神	 历史	 中国历史	 比武&&则天&&中国历史&&女皇帝	 1	 0	 0.000
解读2型糖尿病的高血糖治疗路径	 健康	 其他	 2型糖尿病&&高血糖	 6	 1	 0.167
还有大动作？著名薪资专家深度解读火箭操作，15人大名单仅有9人稳了	 体育	 NBA	 火箭&&人大&&名单	 188	 15	 0.080
“南燕还巢”优秀大学生自贡行启动 35所知名高校的100名同学将开启岗位实习	 教育	 大学	 南燕&&大学生&&自贡&&高校&&实习	 3	 0	 0.000
家有老人的注意啦！老年公交乘车卡办理有重大变化	 社会	 猎奇	 乘车卡	 6	 0	 0.000
为了这座城市，让我们一起努力	 旅行	 国内	 一起努力	 1	 0	 0.000
注意！乌海这些地方将要停电	 民生	 其他	 乌海&&停电	 5	 0	 0.000
军训请假很“简单”，这3种理由，教官无法反驳，还催你休息！	 教育	 大学	 军训&&教官	 122	 25	 0.205
看了韩国人吃泡面，才知道中国人吃泡面为什么只要3分钟就搞定了	 美食	 其他	 韩国人&&中国人	 5	 1	 0.200
云顶之弈:破产流玩法能吃鸡吗？那些经常拿第一的都怎么玩？	 游戏	 网游	 云顶之弈&&破产&&法能	 6	 0	 0.000
算算今天你的脸花了多少钱？会吃惊哦	 教育	 留学	 你的脸&&钱	 3	 0	 0.000
述评：鹰潭撕开一个好口子	 旅行	 其他	 鹰潭	 76	 5	 0.066
夏天最好养的花，丢土里就能活，花期超长，花色艳丽，是盆栽佳品	 家居	 植物	 夏天&&花期&&花色&&盆栽	 3	 0	 0.000
佛教故事:出家一天会有和果报	 宗教	 其他	 佛教故事&&出家&&一天&&果报	 213	 25	 0.117
这10种风水摆件，能旺运招财，从此风水不求人，建议收藏	 星座	 风水	 风水摆件	 6	 1	 0.167
省内查档、毕业生报到不用再跑路了！四川上线人事档案公服平台	 教育	 高中	 毕业生&&报到&&四川&&人事档案	 111	 5	 0.045
培养孩子高情商，家长做好这几点就足够了！	 育儿	 早期教育	 培养&&孩子&&高情商	 96	 10	 0.104
爆笑校园：呆头画出A仔第二天的样子，呆头的预言真准	 动漫	 其他	 爆笑校园&&呆头	 39	 10	 0.256
注意了！南宁邕江沿岸公园出新规定：电动车入园、遛狗会被罚	 旅行	 其他	 南宁邕江	 5	 0	 0.000
汉字繁简之争再起波澜，马来西亚华人认为简体字和大陆才是未来！	 教育	 留学	 汉字&&繁简&&马来西亚华人	 21	 0	 0.000
海口U15邀请赛：中国1-2不敌伊朗，排名垫底	 体育	 中国足球	 海口&&u15&&中国&&伊朗	 4	 0	 0.000
世相│老人七个子女难养老 法律援助帮维权	 社会	 其他	 世相&&老人&&法律援助&&维权	 1	 0	 0.000
新城区又一高档住宅小区正拔地而起，你打算买吗？	 财经	 股票证券	 新城区&&高档住宅&&小区	 44	 1	 0.023
【晨朗·东方花园】城东区高关注度楼盘多维度分析	 房产	 其他	 东方花园&&城东区&&多维	 37	 3	 0.081
神经衰弱的表现，你中了吗？	 健康	 心理健康	 神经衰弱	 250	 26	 0.104
王宝强女友18岁走秀照曝光，穿泳装与陈冠希老婆斗艳，秒杀马蓉	 娱乐	 其他	 王宝强&&走秀&&泳装&&陈冠希&&马蓉	 2	 0	 0.000
周润发干女儿，刘德华干女儿，周星驰我说什么了吗？	 娱乐	 电影	 周润发&&刘德华&&周星驰	 269	 15	 0.056
舌尖上的丽江！最传统、最地道的纳西美食都在这了，过瘾！	 美食	 其他	 丽江&&地道&&美食	 3	 0	 0.000
四大流量小花，谁才是当下收视女王	 娱乐	 明星	 流量小花	 1	 0	 0.000
【轨道情报】广清城轨正式进入铺轨阶段 如期通车不会再“跳票”？	 民生	 交通	 轨道&&城轨&&铺轨&&跳票	 8	 1	 0.125
07月24日营口天气预报	 其他	 其他	 营口&&天气预报	 44	 7	 0.159
白国华：国安有意引入新外援，候选人并没有过中超经历	 体育	 中超	 国华&&国安&&候选人&&中超	 11	 1	 0.091
男子用1欧元的价格拍得洞穴之后，花费3年的时间装修成奢华别墅	 家居	 其他	 欧元&&装修&&别墅	 60	 0	 0.000
“2019年中国婚姻家庭法论坛”在哈尔滨市启幕	 社会	 社会服务	 中国&&婚姻家庭法&&哈尔滨市	 1	 0	 0.000
访徐州槐香斋书画院郑和新老师	 文化	 书法	 徐州&&郑和&&老师	 4	 0	 0.000
麦当劳外卖比堂食定价高，外卖和堂食价格差别，你注意到了吗？	 民生	 食品	 麦当劳&&定价	 594	 61	 0.103
马云谈教育：教育有油门，惩戒就是教育的刹车	 教育	 职业教育	 马云&&教育	 6	 0	 0.000
每天学一味中药，马齿苋！	 健康	 其他	 中药&&马齿苋	 3597	 362	 0.101
甄子丹谢霆锋13年后再合作，《怒火》开镜，英皇集团主席杨受成探	 娱乐	 电影	 甄子丹&&谢霆锋&&怒火&&开镜&&英皇集团&&杨受成	 1064	 143	 0.134
白云矿区举行拥军优抚合作协议签约仪式	 军事&&旅行	 其他	 白云矿区&&优抚&&合作协议&&签约仪式	 1	 0	 0.000
市领导督办中央第五生态环境保护督察组交办重点信访问题	 时政	 反腐打虎	 督办&&环境保护&&督察组&&信访	 3	 0	 0.000
赵云真的叛变了吗？长坂坡之中张飞能否杀掉赵云？	 历史	 中国历史	 赵云&&叛变&&长坂坡&&张飞	 591	 26	 0.044
主持人问鹿晗，是不是北京父母都爱找北京本地媳妇，鹿晗急忙解释	 娱乐	 其他	 主持人&&鹿晗&&北京&&本地	 1074	 112	 0.104
比伯开通微博，蒋依依成追星少女，助理晒聊天记录，是迷妹本人了	 娱乐	 明星	 蒋依依	 100	 7	 0.070
波兰小镇10年生不出男孩，政府不惜设立奖金激励父母们	 社会	 社会百态	 波兰&&男孩&&政府	 174	 6	 0.034
广州新上一oppo手机壳，叫“硅胶壳”，简单低调特气派	 科技	 手机	 广州&&oppo手机壳&&硅胶壳	 4	 0	 0.000
饮食|济南味道	 健康	 中医	 饮食&&济南	 4	 0	 0.000
2019年柳州铁道职业技术学院在川招生高职（专科）专业及计划（理科）	 教育	 高中	 柳州铁道职业技术学院	 8	 2	 0.250
区财政多管齐下强化资金监管	 财经	 宏观经济	 财政&&强化&&资金监管	 3	 0	 0.000
马鞍山农场各村黄氏宗亲人数	 动漫	 其他	 马鞍山农场&&黄氏&&宗亲	 92	 4	 0.043
脚气脚臭严重，家中一普通食材，轻松解决脚气脚臭！	 健康	 其他	 脚气&&脚臭&&食材	 1	 0	 0.000
他一出生遭父母抛弃，从小与奶奶相依为命，25岁创造票房奇迹	 娱乐	 明星	 奶奶&&相依为命&&奇迹	 52	 7	 0.135
每人悬赏10万元！公安部通缉50名重大在逃人员 涉及安徽四人	 社会	 法律法制	 悬赏&&公安部&&通缉&&重大&&安徽	 193	 6	 0.031
在中国，反抗应试教育的人，你是真的蠢！这些鲜活的例子看看吧	 教育	 高中	 中国&&应试教育	 13	 4	 0.308
常见的5个使人犯迷糊的交通标志，交警：搞不明白，上路就扣分	 汽车	 用车	 人犯&&交通&&交警&&不明白&&扣分	 326	 24	 0.074
情迷纸上花，不可不知的秘密	 文化	 文学	 情迷&&秘密	 1	 0	 0.000
耳朵瘙痒还“流油”，是怎么回事？多想一步，答案或能见分晓	 健康	 皮肤病	 耳朵&&瘙痒&&答案	 1	 0	 0.000
会吃的人才长寿，常食用3种果蔬，养护肝脏，润肠通便，增强体质	 健康	 养生	 人才&&长寿&&养护&&肝脏&&润肠通便&&体质	 12	 0	 0.000
身体出现了3个表现 你得抓紧戒烟了	 健康	 养生	 戒烟	 3	 1	 0.333
拔罐、刮痧！！只需9.9元，茂名光华南这家店，男女通用	 时尚	 皮肤护理	 拔罐&&刮痧&&茂名&&光&&华南	 139	 5	 0.036
